p,d,q,P,D,Q,m,AIC,BIC,Val_MAE
1,1,0,1,0,1,12,1783.155639568328,1800.4169963989102,6582.484655974683
0,1,2,0,0,1,12,1783.5005290225336,1800.7618858531157,6863.94294540551
2,1,0,0,0,1,12,1783.5715895075343,1800.8329463381165,6880.230209606606
1,1,1,1,0,1,12,1783.7625877443315,1803.4898526935683,6555.108358783677
0,1,0,1,0,1,12,1783.9856509496233,1798.7810996615508,6590.181879684781
0,1,2,1,0,1,12,1784.1295731263285,1803.8568380755653,6535.111571252927
2,1,0,1,0,1,12,1784.2689211076868,1803.9961860569235,6555.782158835645
0,1,1,0,0,0,12,1784.5824847031831,1796.912025296456,7523.817309468253
2,1,1,1,0,0,12,1784.6168859370068,1804.3441508862436,6754.909524438995
0,1,0,0,0,0,12,1784.7462594265055,1794.6098919011238,7499.82369212111
1,0,0,1,0,1,12,1784.7613547531705,1802.102712454518,14877.532587611353
1,1,2,1,0,0,12,1784.8324163575185,1804.5596813067552,6753.251761492906
2,1,1,0,0,1,12,1785.0471911568636,1804.7744561061004,6861.7470847147715
1,1,2,0,0,1,12,1785.2849145803982,1805.012179529635,6860.724201992412
0,1,0,0,0,1,12,1785.3520765637327,1797.6816171570056,6975.163501300422
1,1,0,0,0,0,12,1785.380004525851,1797.709545119124,7462.499672279664
2,1,1,1,0,1,12,1785.6488434146725,1807.8420164825636,6508.131119756024
1,1,2,1,0,1,12,1785.8170470554712,1808.0102201233624,6506.2295240266685
1,1,1,0,0,0,12,1785.8770643077908,1800.6725130197183,7486.099709112055
1,0,1,1,0,1,12,1786.2423887249377,1806.0610832407633,13653.19833599739
2,0,0,1,0,1,12,1786.2876304801703,1806.106324995996,13915.866501670978
0,1,2,0,0,0,12,1786.2927725553832,1801.0882212673107,7367.091384199652
2,1,0,0,0,0,12,1786.632674782935,1801.4281234948626,7454.222330679587
2,1,2,1,0,0,12,1786.917263196382,1809.1104362642732,6759.88833233344
2,1,2,0,0,1,12,1787.369890562565,1809.563063630456,6866.00418026373
2,1,2,1,0,1,12,1787.9189174853782,1812.577998671924,6515.30305852454
2,1,1,0,0,0,12,1787.977856886727,1805.2392137173092,7453.995733621006
1,1,2,0,0,0,12,1788.4681811248684,1805.7295379554505,7457.5972017376835
2,0,2,1,0,1,12,1789.704720032729,1814.4780881775112,13598.37088668337
1,0,0,1,0,0,12,1790.6766083470443,1805.5406292339135,14910.488198222954
2,1,2,0,0,0,12,1790.6828764109907,1810.4101413602275,7464.982077472585
1,0,1,0,0,1,12,1792.4481342989232,1809.7894920002707,6381.770632297596
2,0,0,1,0,0,12,1792.536914392421,1809.8782720937686,14540.33776989075
1,0,1,1,0,0,12,1792.5688133410106,1809.9101710423581,14553.195852049876
1,0,2,1,0,0,12,1794.332330310793,1814.1510248266186,14556.243151216991
2,0,2,1,0,0,12,1796.4783438780714,1818.7743752083752,14441.1097940315
1,0,0,0,0,1,12,1800.2799780233297,1815.143998910199,10113.620329700929
0,0,2,1,0,0,12,1801.2192335169402,1818.5605912182878,15047.747122038078
2,0,0,0,0,0,12,1807.6654389004993,1822.5294597873685,8039.878798486529
1,0,2,1,0,1,12,1811.6372183902956,1833.9332497205994,16993.933689726186
2,0,1,1,0,1,12,1813.2920404200618,1835.5880717503655,15787.358528459115
2,0,1,1,0,0,12,1813.530163916636,1833.3488584324616,16262.634478870235
1,0,0,0,0,0,12,1816.3347417880677,1828.7214258604588,9270.164156520132
0,0,2,1,0,1,12,1819.4149473894893,1839.233641905315,17821.474531491775
0,0,1,1,0,0,12,1821.6502381379782,1836.5142590248474,14780.244287317524
0,0,2,0,0,1,12,1822.5975848921057,1839.9389425934532,21653.19303633603
0,0,1,1,0,1,12,1823.461328950269,1840.8026866516166,15165.151765760857
1,0,2,0,0,1,12,1824.8244844751275,1844.6431789909532,23239.51384430392
2,0,0,0,0,1,12,1826.0150768952706,1843.356434596618,22680.628638685863
2,0,2,0,0,1,12,1826.511116809928,1848.8071481402317,23180.722212738277
2,0,1,0,0,1,12,1827.6694114881286,1847.4881060039543,22765.18103245657
0,0,1,0,0,1,12,1841.1479167368288,1856.011937623698,21803.989089019506
1,0,2,0,0,0,12,1846.828192295232,1864.1695499965795,27367.817200347847
2,0,2,0,0,0,12,1847.4933867233763,1867.312081239202,25756.996853475688
1,0,1,0,0,0,12,1853.4670608409892,1868.3310817278584,28010.123890631072
2,0,1,0,0,0,12,1854.1289514842365,1871.470309185584,27523.610890661846
0,0,2,0,0,0,12,1856.2927661802723,1871.1567870671415,25925.099117794274
0,0,0,1,0,0,12,1864.5335984625879,1876.920282534979,14174.915346026384
0,0,0,1,0,1,12,1870.5742737255116,1885.4382946123808,13652.408228766535
0,0,1,0,0,0,12,1885.6437538582609,1898.030437930652,26304.743089630483
0,0,0,0,0,1,12,1888.457167374004,1900.843851446395,21760.674135941186
0,0,0,0,0,0,12,2241.0209171369675,2250.9302643948804,26636.858901985997
