p,d,q,P,D,Q,m,AIC,BIC,Val_MAE
2,0,0,0,1,1,12,1591.6271543498874,1600.9500877110327,12670.730295812771
1,0,0,1,1,1,12,1591.7249293152822,1601.0478626764275,12522.254937169735
1,0,2,0,1,0,12,1592.0028863100654,1601.3258196712106,12513.056887879344
2,0,1,0,1,0,12,1592.6061446164263,1601.9290779775715,12480.363197895138
1,0,1,1,1,1,12,1593.0139536200109,1604.6676203214424,12648.221996847817
2,0,1,1,1,0,12,1593.205419259259,1604.8590859606907,12593.365606530619
2,0,0,1,1,1,12,1593.256753609926,1604.9104203113575,12652.61033873725
2,0,1,0,1,1,12,1593.3332094892025,1604.9868761906341,12585.786335971501
2,0,1,1,1,1,12,1594.9670782675882,1608.9514783093061,12578.298140220075
0,0,0,1,1,1,12,1607.2566169988575,1614.2488170197164,9642.156344014164
0,0,0,0,1,0,12,1613.0856486991315,1615.4163820394178,12627.666666666666
0,0,0,1,1,0,12,1614.9126934492604,1619.574160129833,12509.22639582482
0,0,0,0,1,1,12,1620.2764043582738,1624.9378710388464,12516.675150392366
0,1,0,1,0,1,12,1789.8171752177384,1797.214899573702,7133.218848811436
0,1,0,1,0,0,12,1790.958159920249,1795.8899761575583,7629.573551170062
1,1,0,1,0,1,12,1791.1596591995217,1801.02329167414,7116.213177164648
0,1,1,1,0,1,12,1791.299209884843,1801.1628423594614,7119.580140670294
2,0,1,1,0,1,12,1791.3486246306688,1806.212645517538,9563.811368365867
0,1,2,1,0,1,12,1792.5586255960557,1804.8881661893286,7030.568567177859
1,1,0,1,0,0,12,1792.571187044177,1799.9689114001405,7632.116307815861
1,1,1,1,0,1,12,1792.5932225652723,1804.9227631585452,7420.118997762507
2,1,0,1,0,1,12,1792.6124786986331,1804.942019291906,7034.800005244609
0,1,1,1,0,0,12,1792.6246830622238,1800.0224074181874,7632.8977203223585
1,1,0,0,0,1,12,1793.564116293644,1800.9618406496077,7809.882915866923
0,1,1,0,0,1,12,1793.5916545208643,1800.989378876828,7809.549133284923
2,1,2,1,0,1,12,1793.6483382863198,1810.909695116902,7314.238679324185
1,1,1,1,0,0,12,1793.855764075168,1803.7193965497863,7913.179034389778
1,1,2,1,0,1,12,1793.9688295289768,1808.7642782409043,7085.929931543825
0,1,2,1,0,0,12,1793.9709905034101,1803.8346229780284,7579.589053240168
2,1,0,1,0,0,12,1794.0423595513976,1803.9059920260158,7581.100728757705
2,1,1,1,0,1,12,1794.451283905991,1809.2467326179185,7383.992830963011
1,0,1,1,0,1,12,1794.744017886449,1807.13070195884,9381.746534391938
1,1,1,0,0,1,12,1794.8374672344353,1804.7010997090536,8087.016558573789
0,1,2,0,0,1,12,1794.9937850677281,1804.8574175423464,7752.876284931888
2,1,0,0,0,1,12,1795.0607727629745,1804.9244052375927,7753.612970142006
1,1,2,1,0,0,12,1795.0872144563882,1807.416755049661,7585.143998139738
0,1,0,0,0,0,12,1795.1197066409018,1797.5856147595564,8761.111111111111
2,0,0,1,0,1,12,1795.1840795844087,1807.5707636567997,10048.72447185382
0,1,0,0,0,1,12,1795.5131093580885,1800.4449255953978,7833.607464016401
2,1,1,1,0,0,12,1795.7010805047698,1808.0306210980427,7911.188003199917
1,1,2,0,0,1,12,1796.024563014965,1808.354103608238,7748.545617863665
2,1,2,1,0,0,12,1796.5968750091595,1811.392323721087,7871.487926284394
2,1,2,0,0,1,12,1796.692124460902,1811.4875731728296,8019.452523712755
2,1,1,0,0,1,12,1796.7018319695846,1809.0313725628575,8083.770031929463
0,1,1,0,0,0,12,1797.0668200266682,1801.9986362639775,8761.111111111111
1,1,0,0,0,0,12,1797.1812714832922,1802.1130877206015,8760.96913278291
1,0,0,1,0,1,12,1797.5635634292655,1807.4729106871782,7698.228849349943
1,1,1,0,0,0,12,1798.369825113866,1805.7675494698296,8824.418552965197
0,1,2,0,0,0,12,1798.7494591517902,1806.1471835077539,8773.718550530046
2,1,0,0,0,0,12,1798.8063417691721,1806.2040661251358,8772.221498208537
1,1,2,0,0,0,12,1799.6094760283804,1809.4731085029987,8767.174854891895
